Date,Startup Name,Industry,Sub-vertical,Location,Investors,Investment Type,Amount in USD,Website URL
25-07-2017,Noticeboard,Consumer Internet,Mobile-first Enterprise communication platform,Bangalore,"Stellaris Venture Partners,",Private Equity,1200000,https://www.noticeboard.tech/
21-07-2017,MonkeyBox,Consumer Internet,Healthy Food Delivery Platform,Bangalore,"Blume Ventures, NB Ventures, Nspira",Seed Funding,,http://www.monkeybox.in/
21-07-2017,Monsoon Fintech,Technology,Machine Learning Access platform,New Delhi,"Sunil Kalra, Aditya Singh, Rishi Srivastava, Rajan Anandan",Seed Funding,,https://monsoonfintech.com/
21-07-2017,FableStreet,eCommerce,Women Work wear etailer,New Delhi,"Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others",Seed Funding,,https://www.fablestreet.com/
21-07-2017,Brick2Wall,eCommerce,Online Marketplace for Construction Material,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed Funding,200000,https://brick2wall.com/
20-07-2017,Trupay,Technology,Online payments platform,Gurgaon,"Kae Capital, M&S Partners,",Seed Funding,700000,
19-07-2017,AirCTO,Consumer Internet,AI powered recruitment platform,Bangalore,Francesco Cara,Seed Funding,,https://aircto.com/
19-07-2017,Rentomojo,Consumer Internet,Consumer Leasing Platform,Bangalore,"ain Capital Ventures, Renaud Laplanche",Private Equity,10000000,http://Rentomojo.com
19-07-2017,Playablo,Technology,Gamified Learning App,Bangalore,ABI-Showatech (India) Ltd,Seed Funding,600000,https://www.playablo.com/
18-07-2017,Ambee,Consumer Internet,Ambulance Aggregation Services,Hyderabad,"Uber Technologies Inc, Amaya Capital LLP",Seed Funding,,http://www.goambee.com/
18-07-2017,Ideal Insurance,Consumer Internet,Online Insurance platform,Kolkata,Xelpmoc,Seed Funding,,http://www.idealinsurance.in/
18-07-2017,MObiquest,Technology,Mobile Services & Solutions,Noida,One97 Communication Ltd,Private Equity,,
18-07-2017,Hypernova Interactive,Technology,Mobile games creator,Bangalore,Kae Capital,Seed Funding,,http://hninteractive.com/
17-07-2017,Vayana,Technology,Enterprise Banking Solutions,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,4000000,http://www.vayana.in/
17-07-2017,Increff,Technology,Sales Solutions for Fashion Brands,Bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Funding,2000000,http://www.increff.com/
14-07-2017,Chumbak,eCommerce,Designer consumer products Marketplace,Bangalore,Blacksoil Capital Pvt. Ltd,Private Equity,1700000,https://www.chumbak.com/
14-07-2017,QwikSpec,Technology,Construction site operations and analytics platform,Bangalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,540000,http://qwikspec.com/
12-07-2017,VDeliver,Logistics,Door Step Delivery platform,Hyderabad,"Corvus Ventures, MAPE Advisory Group",Private Equity,,http://vdeliver.in/
12-07-2017,Innoviti,Technology,Digital payments solutions,Bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,18500000,https://innoviti.com/
12-07-2017,Arcatron,Technology,Next Gen Mobility device manufacturer,Pune,Indian Angel Network,Seed Funding,,http://arcatron.com/
12-07-2017,Bottr.me,Technology,Chatbot creation tool,Bangalore,"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta",Seed Funding,,http://Bottr.me
11-07-2017,Flickstree,Consumer Internet,Video Content Discovery Platform,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,464000,https://www.flickstree.com/
11-07-2017,Fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Pune,Dunamis Ventures Pte Ltd,Private Equity,2250000,https://www.fabogo.com/
11-07-2017,Design Cafe,Consumer Internet,Online Interior Design platform,Bangalore,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",Seed Funding,,
10-07-2017,Autorox.co,Technology,Workshop Management Software Platform,Hyderabad,Mitsui & Co.,Private Equity,3000000,http://www.autorox.co/
07-07-2017,Upwardly.in,Consumer Internet,MF investment platform,Bangalore,"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures",Seed Funding,,http://Upwardly.in
07-07-2017,Clip App,Consumer Internet,Digital Media Video platform,Bangalore,"India Quotient, Shunwei Capital",Seed Funding,1000000,https://play.google.com/store/apps/details?id=com.clip&hl=en
06-07-2017,Minjar,Technology,Cloud Solutions provider,Bangalore,"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs",Seed Funding,,http://www.minjar.com/
06-07-2017,MyCity4kids,Consumer Internet,parenting blog and kids’ events discovery platform,Gurgaon,,Seed Funding,,https://www.mycity4kids.com/
05-07-2017,Moglix,eCommerce,B2B marketplace for Industrial products,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,12000000,http://www.moglix.com
05-07-2017,Jumbotail,eCommerce,online marketplace for food and grocery,Bangalore,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,8500000,http://jumbotail.com/
05-07-2017,Timesaverz,Consumer Internet,Hyperlocal home services provider,Mumbai,BCCL,Private Equity,1000000,https://www.timesaverz.com/
04-07-2017,Droom,eCommerce,Online marketplace for automobiles,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,20000000,http://droom.in
03-07-2017,Ecolibriumenergy,Technology,Energy management solutions provider,Ahmedabad,"Infuse Ventures, JLL",Private Equity,2600000,http://ecolibriumenergy.com/
01-07-2017,Billion Loans,Consumer Internet,Peer to Peer Lending platform,Bangalore,Reliance Corporate Advisory Services Ltd,Seed Funding,1000000,http://www.billionloans.com/
30-06-2017,UrbanClap,Consumer Internet,Mobile Services Marketplace,Gurgaon,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",Private Equity,21000000,https://www.urbanclap.com/
30-06-2017,Tagos Design,Technology,in-video discovery platform,Bangalore,Undisclosed Investors,Private Equity,5000000,https://business.charmboard.com/
29-06-2017,ZingHR,Technology,"digital employee solutions,",Mumbai,Zeta,Private Equity,,https://zinghr.com/
29-06-2017,Fitpass,Consumer Internet,Online Fitness Marketplace,New Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity,1000000,https://fitpass.co.in/
28-06-2017,Niki.ai,Consumer Internet,AI Based Personal Assistant,Bangalore,"SAP.iO, Unilazer Ventures",Private Equity,2000000,http://Niki.ai
28-06-2017,Rubique,Consumer Internet,Online Marketplace for financial products,Mumbai,"Kalaari Capital, Udayan Goyal",Private Equity,3000000,https://www.rubique.com/
28-06-2017,FiTraQ,Consumer Internet,Fitness Centre Discovery Platform,New Delhi,"Aparup Sengupta, Devendra Reddy,",Seed Funding,,https://fitraq.com/
27-06-2017,Spares Hub,eCommerce,Automobile parts marketplace,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed Funding,311000,http://SparesHub.com
27-06-2017,Formcept,Consumer Internet,Unified Data Analysis platform,Bangalore,Gujarat Venture Finance Ltd,Private Equity,,http://www.formcept.com/
27-06-2017,Stashfin,Consumer Internet,Personal Finance App,New Delhi,"Snow Leopard Ventures, Alto Partners",Private Equity,5000000,
26-06-2017,Flipkart,eCommerce,Online marketplace,Bangalore,Naspers,Private Equity,71000000,http://www.quantta.com/
26-06-2017,V Resorts,Consumer Internet,Holiday & Vacation resort aggregator,Noida,"Seedfund, RB International",Private Equity,4000000,https://www.vresorts.in/
26-06-2017,HUG Innovations,Technology,Gesture based  Smartwatch manufacturer,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,5000000,
23-06-2017,Loantap,Consumer Internet,Lending platform for salaried professionals,Mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",Private Equity,4000000,https://loantap.in/
23-06-2017,Voxweb,Consumer Internet,Mobile based social networking platform,Mumbai,Undisclosed investors,Seed Funding,1000000,https://play.google.com/store/apps/details?id=com.voxweb&hl=en
22-06-2017,Explore Life traveling,Consumer Internet,Local homes booking platform,Bangalore,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding,500000,https://www.explorelifetraveling.com/
22-06-2017,Kissht,Consumer Internet,Consumer Lending platform,Mumbai,"Endiya Partners, Ventureast",Private Equity,2000000,https://kissht.com/
22-06-2017,Julia Computing,Technology,Open Source Language for Data Science and Machine Learning,Bangalore,"General Catalyst, Founder Collective",Private Equity,4600000,https://juliacomputing.com/
21-06-2017,OneAssist,Consumer Internet,Credit card fraud protection,Mumbai,Sequoia Capital,Private Equity,,https://www.oneassist.in/
21-06-2017,mSwipe,Technology,Point-of-Sale services,Mumbai,"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",Private Equity,31000000,http://www.mswipe.com/
21-06-2017,Grow Fit,Consumer Internet,Health-Tech platform,Bangalore,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",Private Equity,4500000,https://getgrowfit.com/
21-06-2017,Fynd,eCommerce,Fashion etailer,Mumbai,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",Private Equity,2400000,https://www.gofynd.com/
21-06-2017,Fabulyst,Technology,Artificial Intelligence based platform,Hyderabad,iBhubs,Seed Funding,215000,http://fabulyst.com/
20-06-2017,Insider.in,Consumer Internet,Events Ticketing platform,Mumbai,Paytm,Private Equity,5200000,http://Insider.in
20-06-2017,ForeverShop,Consumer Internet,Mobile based ecommerce platform,Bangalore,91maker.com,Seed Funding,300000,
19-06-2017,DarwinBox,Technology,Enterprise human resources management platform,Hyderabad,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP",Private Equity,4000000,https://darwinbox.com/
19-06-2017,Unbxd,Technology,Cloud-based product discovery platform,Bangalore,Eight Roads Ventures,Private Equity,12500000,http://unbxd.com/
16-06-2017,Goodbox,eCommerce,Mobile SAAS  ECommerce platform for SMEs,Bangalore,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,1000000,https://goodboxapp.com/
16-06-2017,Fincash,Consumer Internet,Personal Finance platform,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed Funding,100000,http://Fincash.com
16-06-2017,HealthIntel,Healthcare,Online Pharmacy,New Delhi,BLIP Initiatives,Seed Funding,,
16-06-2017,EazyDiner,Consumer Internet,Online Restaurant Reservation Platform,Gurgaon,YouWeCan Ventures,Seed Funding,,https://www.eazydiner.com/
16-06-2017,EdgeFx,eCommerce,DIY project Kits seller,Hyderabad,"Cross Border Angels & Experts, Rajasthan Angel Innovators Network, The Chennai Angels",Seed Funding,,http://www.edgefxkits.com/
16-06-2017,PortDesk,Technology,Maritime Solutions,Noida,Alphard Maritime Group,Seed Funding,2000000,
15-06-2017,MoneyTap,Consumer Internet,Money Lending platform,Bangalore,"Sequoia India, NEA, Prime Venture Partners",Private Equity,12300000,https://www.moneytap.com/
14-06-2017,MrNeeds,Consumer Internet,Micro Food Delivery platform,Noida,undisclosed investors,Seed Funding,500000,http://mrneeds.com/
14-06-2017,Vanitycask,Consumer Internet,Beauty products discovery platform,Mumbai,RB Investments,Seed Funding,,http://www.vanitycask.com/
14-06-2017,Ola,Consumer Internet,Cab Aggregation App,Bangalore,Tekne Capital Management LLC,Private Equity,50000000,http://olacabs.com/
13-06-2017,Goodera,Technology,CSR and sustainability management platform,Bangalore,"Nexus Venture Partners, Omidyar Network",Private Equity,5500000,http://www.goodera.com/?lipi=urn%3Ali%3Apage%3Ad_flagship3_company%3B%2BtPg9tYfRqi5mp%2BBoDDqkw%3D%3D
13-06-2017,Digit,Technology,Tech driven Insurance platform,Bangalore,Fairfax Holdings,Private Equity,,
13-06-2017,HyperTrack,Technology,Location tracking solutions,New Delhi,"Nexus Venture Partners, Founders Fund",Private Equity,,https://www.hypertrack.com/
12-06-2017,Vista Rooms,Consumer Internet,Online rooms aggregation platform,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed Funding,776000,https://www.vistarooms.com/
12-06-2017,CoverFox,Consumer Internet,Online insurance brokerage platform,Mumbai,Transamerica,Private Equity,15000000,http://www.coverfox.com
12-06-2017,PeeSafe.in,Healthcare,Hygiene care product manufacturer,New Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,1000000,http://www.peesafe.in/
12-06-2017,Boxx.ai,Technology,Artificial Intelligence,Bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,500000,http://boxx.ai
12-06-2017,LendingKart,Consumer Internet,Online Lending platform,Ahmedabad,Yes Bank,Debt Funding,7800000,https://www.lendingkart.com/
12-06-2017,Loanmeet,Consumer Internet,Online peer-to-peer lending platform,Bangalore,"Cao Yibin, Huang Wei, Madhusudan E,",Seed Funding,,https://www.loanmeet.com/
09-06-2017,eSahai.in,Consumer Internet,ambulance aggregator and medical taxi provider,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed Funding,250000,
09-06-2017,Guidoo,Consumer Internet,Travel & adventure planning platform,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed Funding,300000,http://www.guiddoo.com/home
08-06-2017,Stratfit,Consumer Internet,Health coaching programs,Hyderabad,Bodhtree Consulting Limited,Seed Funding,232000,https://play.google.com/store/apps/details?id=net.stratfit.user
08-06-2017,ABI Health,Technology,Unified Digital Health Platform,Bangalore,Norwest Venture Partners,Private Equity,1500000,http://www.abi-health.com/
08-06-2017,Multiplier Solutions,Technology,CRM Software for Healthcare space,Hyderabad,Norwest Venture Partners,Private Equity,1500000,http://multipliersolutions.com/
08-06-2017,Stockal,Consumer Internet,App-based Investment advisory Services,Bangalore,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed Funding,350000,http://www.stockal.com/
07-06-2017,ZipLoan,Consumer Internet,Online lending platform,New Delhi,WaterBridge Ventures,Seed Funding,650000,https://www.ziploan.in/
07-06-2017,GrowFitter,Consumer Internet,health and fitness discovery platform,Mumbai,SQue Capital,Seed Funding,600000,https://www.growfitter.com/
06-06-2017,Spinny,eCommerce,Online Used Car marketplace,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,1000000,https://www.myspinny.com/
06-06-2017,Hungry Foal,Consumer Internet,For profit Social Venture,Gurgaon,SBI (Stand Up India Scheme),Private Equity,,http://www.hungryfoal.com/
06-06-2017,GyanDhan,Consumer Internet,Education Marketplace,New Delhi,Sundaram Finance Holdings,Private Equity,,https://www.gyandhan.com/
06-06-2017,wayForward,Consumer Internet,Mobile app for Mental Health,New Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed Funding,1000000,https://www.wayforward.co.in/
06-06-2017,BHIVE Workspace,Consumer Internet,co-working spaces,Bangalore,Blume Ventures,Private Equity,1200000,https://bhiveworkspace.com/
06-06-2017,Ftcash,Consumer Internet,Mobile Payments platform,Mumbai,"500 Startups, IvyCap Ventures",Private Equity,,https://www.ftcash.com/
06-06-2017,Healthbuds,Consumer Internet,Healthcare Discovery & booking platform,Kolkata,"Arun Patodia, Bharat Kedia",Seed Funding,,http://Healthbuds.in
05-06-2017,MaxMyWealth,Consumer Internet,Online Wealth Management & Savings platform,Mumbai,"blockchain ecosystem Global Advisors, Horseferry",Private Equity,,https://maxmywealth.com/
05-06-2017,Goomo,Consumer Internet,Online Travel & Holiday Booking platform,Mumbai,Emerging India,Private Equity,50000000,https://www.goomo.com/
02-06-2017,RentOnGo,eCommerce,"Online Marketplace for Renting Bikes, Electronics & Appliances",Bangalore,TVS Motor Company,Seed Funding,234000,http://www.rentongo.com/
01-06-2017,Tripeur,Technology,Mobile based travel ERP platform,Bangalore,"Grace Grace Techno Ventures LLP, Rajul Garg & Other undisclosed investors",Seed Funding,,https://play.google.com/store/apps/details?id=com.tripp&hl=en
31-05-2017,Magicpin,Consumer Internet,Hyperlocal Discovery  & Rewards platform,Gurgaon,"Lightspeed India Partners, Waterbridge Ventures",Private Equity,7000000,https://magicpin.in/
31-05-2017,SastaSundar,eCommerce,Online Pharmacy,Kolkata,Rohto Pharmaceutical,Private Equity,5000000,http://www.sastasundar.com/
30-05-2017,SimpliLend,Consumer Internet,Online lending platform,New Delhi,Undisclosed Investors,Seed Funding,,https://www.simplilend.com/
30-05-2017,Loadshare,Logistics,Express Logistics Network,Bangalore,Matrix Partners,Seed Funding,,http://www.loadshare.net/
30-05-2017,Swiggy,Consumer Internet,Online food delivery platform,Bangalore,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private Equity,80000000,http://www.Swiggy.com
30-05-2017,Supr Daily,Consumer Internet,Subscription based delivery platform,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,1500000,http://www.suprdaily.com/
29-05-2017,Wowflux,Technology,image Processing solution,New Delhi,Undisclosed Investors,Seed Funding,,https://www.instaclick.studio/
29-05-2017,Nivesh,Consumer Internet,Online MF investment platform,Noida,"PV Sahad, Sandeep Shroff, Rahul Gupta",Seed Funding,,http://Nivesh.com
29-05-2017,Cube Consumer Services,Consumer Internet,Finance management Mobile app,Mumbai,,Seed Funding,,http://www.bankoncube.com/
29-05-2017,Collateral Medical,eCommerce,Online Medical equipment supplier,Mumbai,Carpediem Capital,Private Equity,3500000,http://www.colmed.in/
26-05-2017,WhatsLoan,Consumer Internet,Online Lending mobile app,Bangalore,Lahiri Music’s family office,Seed Funding,,http://whatsloan.com/
25-05-2017,Aye Finance,Finance,Non-Banking Financial Company,Gurgaon,Blue Orchard,Private Equity,8000000,http://www.ayefin.com/
24-05-2017,GenNext Students,Consumer Internet,Online Tutoring Services,Mumbai,Undisclosed Investors,Seed Funding,580000,https://www.genextstudents.com/
23-05-2017,TravelSpice,ECommerce,Travel ECommerce portal,Hyderabad,Eagle10 Ventures,Seed Funding,,https://www.travelspice.com/
23-05-2017,Box8,Consumer Internet,Food Delivery Platform,Mumbai,Trifecta Capital,Private Equity,1000000,http://Box8.in
23-05-2017,The Print,Consumer Internet,News Portal,New Delhi,"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody",Seed Funding,,
23-05-2017,Magicpin,Consumer Internet,Hyperlocal discovery platform,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",Private Equity,6600000,https://magicpin.in/
22-05-2017,ZipGrid,Consumer Internet,"Cashless, paperless solutions for Housing societies",Mumbai,"JLL, 1Crowd",Seed Funding,500000,https://zipgrid.com/communities/
22-05-2017,Delhivery,Logistics,ECommerce Logistics provider,New Delhi,Fosun International,Private Equity,30000000,http://www.Delhivery.com
20-05-2017,YepMe,eCommerce,Private Fashion Brand etailer,New Delhi,Gokaldas Exports Ltd,Private Equity,,http://www.YepMe.com
19-05-2017,EzCred,Consumer Internet,Consumer Lending Platform,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed Funding,1000000,http://www.ezcred.in/
19-05-2017,HealthSutra,Food & Beverage,Health Food Maker,Hyderabad,"Ankur Capital, Hyderabad Angels",Seed Funding,,http://healthsutra.in/
18-05-2017,Paytm,ECommerce,Mobile Wallet & ECommerce platform,Bangalore,SoftBank Group,Private Equity,1400000000,http://www.paytm.com
18-05-2017,PumpKart,eCommerce,Online Water Pumps etailer,Chandigarh,Dr. Ritesh Malik,Seed Funding,,
18-05-2017,The Good Life,ECommerce,Online Luxury Tea etailer,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed Funding,1000000,https://www.tglteas.com/
17-05-2017,Genie,Consumer Internet,hyperlocal delivery and logistics mobile app,Chennai,undisclosed investors,Seed Funding,250000,
17-05-2017,Paysense,Consumer Internet,Online Lending platform,Mumbai,Jungle Ventures,Private Equity,5300000,https://www.gopaysense.com/
16-05-2017,Telr,Technology,Online Payment Gateway,Mumbai,Innovations East,Private Equity,3000000,https://telr.com/
16-05-2017,Niki.ai,Technology,AI-based chatbot,Bangalore,SAP,Private Equity,,https://niki.ai
16-05-2017,Fynd,eCommerce,Fashion ECommerce Portal,Mumbai,Rocketship,Private Equity,500000,https://www.gofynd.com/
15-05-2017,Zapty,Technology,Project Management tool,Bangalore,IdeaSpring Capital,Seed Funding,500000,https://zapty.com/
15-05-2017,Vernacular.ai,Technology,Multi-lingual AI Platform for Businesses,Bangalore,Kstart Capital,Seed Funding,,http://Vernacular.ai
12-05-2017,Remit Guru,Consumer Internet,Digital money transfer platform,Mumbai,"Infibeam, CCavenue",Private Equity,466000,http://www.remitguru.com/
12-05-2017,Legal Raasta,Consumer Internet,Legal Services to SMEs & Individuals,New Delhi,Impanix Capital,Private Equity,5000000,https://www.legalraasta.com/
12-05-2017,Log 9 Materials,Technology,NanoTech product developer,Bangalore,GEMs,Seed Funding,,http://www.log9materials.com/
12-05-2017,Aequm,eCommerce,Cloud ECommerce platform,Bangalore,undisclosed investors,Seed Funding,1000000,
11-05-2017,ION Energy,Technology,Clean Tech Startup,Mumbai,"Aakrit Vaish, Swapan Rajdev, Sushill Jiwarajka",Seed Funding,,
11-05-2017,Book My Diamond,eCommerce,Diamond B2B eTailer,Mumbai,Chirag Nikunj Sheth & Others,Seed Funding,,https://bookmydiamond.com/
11-05-2017,Early Salary,Consumer Internet,Online lending platform,Pune,"DG Ventures India, Dewan Housing Finance Corp",Private Equity,4000000,
10-05-2017,Fourth Ambit,Consumer Internet,Community Building platform,Bangalore,1Crowd,Seed Funding,600000,https://www.fourthambit.com/
10-05-2017,Shopclues,eCommerce,Online marketplace,Gurgaon,InnoVen Capital,Private Equity,7700000,http://www.shopclues.com
10-05-2017,Vidooly,Consumer Internet,Video Intelligence platform,Noida,"Times Internet, GVFL",Private Equity,1400000,http://www.Vidooly.com
10-05-2017,Lucideus,Technology,Cyber Security Startup,New Delhi,"Vellayan Subbiah, Jonathan Boutelle, Rajan Anandan,  Rahul Chawla, Salil Donde, Amit Ranjan, Govind Rajan & Others",Seed Funding,,http://www.lucideus.com/index.html
10-05-2017,Chymera VR,Technology,Advertising Platform for Virtual Reality,Bangalore,"Varsha Rao, Surojit Chatterjee, Nirav Choksi & Others",Seed Funding,,http://www.chymeravr.com/
09-05-2017,Sequretek,Technology,IT Security & Data Management Services,Mumbai,"GVFL, Unicorn India Ventures",Private Equity,,https://www.sequretek.com/
09-05-2017,Anchanto,Technology,Ecommerce Fulfilment and Technology Platform,Pune,Luxasia Group,Private Equity,,http://www.anchanto.com/
09-05-2017,Curie Labs,Technology,Energy Analytics startup,New Delhi,Satoshi Studios,Seed Funding,50000,http://www.curielabs.com/
09-05-2017,Uncanny Vision,Technology,Computer Vision on Embedded Systems,Bangalore,Anand Chandrasekaran,Seed Funding,,http://www.uncannyvision.com/
08-05-2017,CureFit,Technology,Health-Tech Platform,Bangalore,"Trifecta Capital Advisors LLP, Prathithi Investment Trust, RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others",Private Equity,3200000,http://www.curefit.com
08-05-2017,Ace Turtle,Technology,Omni-Channel Platform,Bangalore,"Vertex Ventures, C31 Ventures",Private Equity,5000000,http://www.aceturtle.com/
08-05-2017,MyGreens,Food & Beverage,Cold-press Juices manufacturer,New Delhi,"Ajay Relan, LetsVenture",Seed Funding,1000000,http://www.mygreens.com/
08-05-2017,Devourin,Technology,Restaurant Automation Solution,Pune,Deepak Nathani,Seed Funding,,http://devourin.com/
08-05-2017,Nightstay,Consumer Internet,Last minute hotel booking mobile app,New Delhi,"Indian Angels Network, LetsVenture",Seed Funding,,https://www.nightstay.in/
08-05-2017,YepMe,eCommerce,Private Label Fashion etailer,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,700000,http://Yepme.com
05-05-2017,HealthMir,Consumer Internet,AI-based health content platform,New Delhi,Nimit Panigrahi,Seed Funding,,http://healthmir.com/
05-05-2017,Balance App,Consumer Internet,Money Savings & Management App,Bangalore,Rainmatter,Seed Funding,233000,
05-05-2017,Uactive,Consumer Internet,Health-based social networking & discovery App,Mumbai,Hinduja family,Seed Funding,,http://www.uactiv.com/
05-05-2017,i-lend,Consumer Internet,Peer-to-peer lending platform,Hyderabad,50K Ventures,Seed Funding,,https://www.i-lend.in/
05-05-2017,Good Methods Global,Technology,Cloud Based Practice Management Software,Trivandrum,Accel Partners,Private Equity,,http://www.goodmethodsglobal.com/
04-05-2017,Healthians,Consumer Internet,Online Diagnostics and wellness platform,New Delhi,"Asuka Holdings, YouWeCan Ventures, Beenext, Beenos, M&S Partners",Private Equity,,http://www.Healthians.com
03-05-2017,Sumeru,Technology,Software & Mobile development services,Bangalore,undisclosed investors,Seed Funding,1000000,http://sumeru.com/
03-05-2017,Ola,Consumer Internet,Cab Aggregation App,Bangalore,"Falcon Edge Capital,  Capital Advisers",Private Equity,104500000,http://olacabs.com
02-05-2017,ZippServe,Consumer Internet,Real estate risk assessment platform,Bangalore,undisclosed investors,Seed Funding,390000,https://www.zippserv.com/
02-05-2017,SMECorner,Consumer Internet,Online Platform for small business loans,Mumbai,Dutch government fund,Private Equity,,https://www.smecorner.com/
02-05-2017,4tigo,Logistics,Truck Network company,Bangalore,"Accel Partners, Nandan Nilekani,",Private Equity,10000000,https://www.4tigo.com/home
02-05-2017,Innovapptive,Technology,Enterprise Mobility Solutions,Hyderabad,Hyderabad Angels,Seed Funding,1500000,http://www.innovapptive.com
01-05-2017,Power2SME,eCommerce,Buying portal for SMEs,Gurgaon,International Finance Corporation,Private Equity,10000000,https://www.power2sme.com/
01-05-2017,Ace2three,Consumer Internet,Online Rummy playing Website,Hyderabad,Clairvest Group,Private Equity,73700000,https://www.ace2three.com/
29-04-2017,Qriyo,Consumer Internet,Tutor Discovery & Booking platform,Jaipur,NB Ventures,Private Equity,,https://www.qriyo.com/
28-04-2017,Sepalika,Consumer Internet,Healthcare related content platform,New Delhi,Accel Partners,Seed Funding,750000,https://www.sepalika.com/
28-04-2017,Mintwalk,Consumer Internet,Financial advisory mobile app,Mumbai,Poshika Financial Ecosystem,Seed Funding,,
27-04-2017,eShiksha,Technology,Education Institution Management Solutions,Jaipur,Cross Border Angels & Experts,Seed Funding,,http://www.eshiksa.com/
27-04-2017,Autobix,Technology,Software Solutions for Auto Dealership,Pune,GardX International,Seed Funding,,http://www.autobix.in/
27-04-2017,Scootsy,Consumer Internet,On-Demand Food Delivery,Mumbai,"Agnus Capital, Khattar Holdings",Private Equity,3600000,https://scootsy.com/
27-04-2017,iNurture,Consumer Internet,Online Educational courses,Bangalore,BlackSoil Capital Pvt. Ltd,Private Equity,1500000,http://www.inurture.co.in/
26-04-2017,ZipGo,Consumer Internet,Bus Pooling services platform,Bangalore,"Orios Ventures Partners, Team Builder Ventures, Omidyar Networks",Private Equity,,https://zipgo.in/
26-04-2017,StalkBuyLove,eCommerce,Online fashion marketplace,New Delhi,Trifecta Capital,Private Equity,1000000,http://www.StalkBuyLove.com
26-04-2017,Awfis,Consumer Internet,Collaborative co-Working Spaces,Mumbai,Sequoia India,Private Equity,20000000,http://www.awfis.com/
26-04-2017,Myra,Consumer Internet,Online Pharmacy,Bangalore,"Times Internet,Matrix Partners",Private Equity,,https://myramed.in/
26-04-2017,Howdy Ventures,Consumer Internet,Public and Private Events creation app,Chennai,S. Xavier Britto,Seed Funding,1500000,http://www.howdydo.me/
